DID;Date;BW_REQUESTED
235009876;12/10/2024 00:00;1035.673
235009877;12/10/2024 00:00;300.0
235009878;12/10/2024 00:00;344.838
235009879;12/10/2024 00:00;2000.0
235009880;12/10/2024 00:00;2000.0
235009881;12/10/2024 00:00;2000.0
235009882;12/10/2024 00:00;5000.0
235009883;12/10/2024 00:00;5000.0
235009884;12/10/2024 00:00;3000.0
235009885;12/10/2024 00:00;3000.0
235009876;12/10/2024 00:05;530.539
235009877;12/10/2024 00:05;572.253
235009878;12/10/2024 00:05;422.955
235009879;12/10/2024 00:05;2000.0
235009880;12/10/2024 00:05;3799.74
235009881;12/10/2024 00:05;2000.0
235009882;12/10/2024 00:05;5000.0
235009883;12/10/2024 00:05;5000.0
235009884;12/10/2024 00:05;3000.0
235009885;12/10/2024 00:05;3000.0
235009876;12/10/2024 00:10;719.444
235009877;12/10/2024 00:10;327.471
235009878;12/10/2024 00:10;732.243
235009879;12/10/2024 00:10;2000.0
235009880;12/10/2024 00:10;2000.0
235009881;12/10/2024 00:10;2000.0
235009882;12/10/2024 00:10;5000.0
235009883;12/10/2024 00:10;5000.0
235009884;12/10/2024 00:10;3000.0
235009885;12/10/2024 00:10;3000.0
235009876;12/10/2024 00:15;520.885
235009877;12/10/2024 00:15;405.284
235009878;12/10/2024 00:15;671.545
235009879;12/10/2024 00:15;2086.375
235009880;12/10/2024 00:15;2000.0
235009881;12/10/2024 00:15;2000.0
235009882;12/10/2024 00:15;5000.0
235009883;12/10/2024 00:15;5000.0
235009884;12/10/2024 00:15;3000.0
235009885;12/10/2024 00:15;3000.0
235009876;12/10/2024 00:20;317.774
235009877;12/10/2024 00:20;300.0
235009878;12/10/2024 00:20;535.864
235009879;12/10/2024 00:20;2000.0
235009880;12/10/2024 00:20;2000.0
235009881;12/10/2024 00:20;2000.0
235009882;12/10/2024 00:20;5000.0
235009883;12/10/2024 00:20;5000.0
235009884;12/10/2024 00:20;3000.0
235009885;12/10/2024 00:20;3000.0
235009876;12/10/2024 00:25;300.0
235009877;12/10/2024 00:25;426.09
235009878;12/10/2024 00:25;474.154
235009879;12/10/2024 00:25;2000.0
235009880;12/10/2024 00:25;2345.646
235009881;12/10/2024 00:25;2000.0
235009882;12/10/2024 00:25;5000.0
235009883;12/10/2024 00:25;5000.0
235009884;12/10/2024 00:25;3000.0
235009885;12/10/2024 00:25;3000.0
235009876;12/10/2024 00:30;867.754
235009877;12/10/2024 00:30;696.863
235009878;12/10/2024 00:30;897.646
235009879;12/10/2024 00:30;2000.0
235009880;12/10/2024 00:30;2000.0
235009881;12/10/2024 00:30;2554.011
235009882;12/10/2024 00:30;5000.0
235009883;12/10/2024 00:30;5000.0
235009884;12/10/2024 00:30;3000.0
235009885;12/10/2024 00:30;3000.0
235009876;12/10/2024 00:35;300.0
235009877;12/10/2024 00:35;401.534
235009878;12/10/2024 00:35;560.889
235009879;12/10/2024 00:35;2000.0
235009880;12/10/2024 00:35;2048.166
235009881;12/10/2024 00:35;2000.0
235009882;12/10/2024 00:35;5000.0
235009883;12/10/2024 00:35;9244.032
235009884;12/10/2024 00:35;3000.0
235009885;12/10/2024 00:35;3000.0
235009876;12/10/2024 00:40;329.906
235009877;12/10/2024 00:40;449.963
235009878;12/10/2024 00:40;300.0
235009879;12/10/2024 00:40;2000.0
235009880;12/10/2024 00:40;2000.0
235009881;12/10/2024 00:40;2054.454
235009882;12/10/2024 00:40;5000.0
235009883;12/10/2024 00:40;5000.0
235009884;12/10/2024 00:40;3000.0
235009885;12/10/2024 00:40;3000.0
235009876;12/10/2024 00:45;300.0
235009877;12/10/2024 00:45;446.729
235009878;12/10/2024 00:45;365.103
235009879;12/10/2024 00:45;2000.0
235009880;12/10/2024 00:45;2000.0
235009881;12/10/2024 00:45;2261.037
235009882;12/10/2024 00:45;5000.0
235009883;12/10/2024 00:45;5000.0
235009884;12/10/2024 00:45;3000.0
235009885;12/10/2024 00:45;3000.0
235009876;12/10/2024 00:50;548.757
235009877;12/10/2024 00:50;300.0
235009878;12/10/2024 00:50;590.958
235009879;12/10/2024 00:50;2000.0
235009880;12/10/2024 00:50;2000.0
235009881;12/10/2024 00:50;2000.0
235009882;12/10/2024 00:50;5000.0
235009883;12/10/2024 00:50;8828.348
235009884;12/10/2024 00:50;3000.0
235009885;12/10/2024 00:50;3162.124
235009876;12/10/2024 00:55;314.031
235009877;12/10/2024 00:55;300.0
235009878;12/10/2024 00:55;300.0
235009879;12/10/2024 00:55;2000.0
235009880;12/10/2024 00:55;2000.0
235009881;12/10/2024 00:55;2147.617
235009882;12/10/2024 00:55;5000.0
235009883;12/10/2024 00:55;8798.708
235009884;12/10/2024 00:55;3195.396
235009885;12/10/2024 00:55;3000.0
235009876;12/10/2024 01:00;563.017
235009877;12/10/2024 01:00;728.719
235009878;12/10/2024 01:00;300.0
235009879;12/10/2024 01:00;2000.0
